customer_id,signup_date,region,industry,company_size,plan_tier,contract_type,mrr,discount_pct,tenure_months,logins_last_30_days,last_login_days_ago,feature_adoption_pct,support_tickets_last_90d,avg_ticket_resolution_hrs,payment_failures_last_12mo,nps_score,csat_score,upsell_count,churn_flag,churn_date,churn_reason
CUST-100051,2024-12-27,Europe,Retail/E-commerce,Small (1-50),Pro,Monthly,201.2,10.0,18,12,35,58.8,4,5.6,0,3,3.3,1,0,,
CUST-100052,2025-08-21,North America,Manufacturing,Small (1-50),Enterprise,Monthly,759.46,0.0,10,8,26,32.0,3,6.3,0,9,3.4,1,0,,
CUST-100053,2024-04-16,Europe,Technology,Medium (51-500),Enterprise,Monthly,1002.18,0.0,26,8,24,41.1,1,6.8,0,9,4.1,2,0,,
CUST-100054,2025-08-24,LATAM,Education,Small (1-50),Pro,Monthly,120.74,5.0,10,12,26,43.2,1,24.9,0,7,3.0,0,0,,
CUST-100055,2024-03-27,APAC,Retail/E-commerce,Medium (51-500),Enterprise,Monthly,956.49,0.0,27,21,19,64.0,1,25.4,0,9,3.8,1,0,,
CUST-100056,2026-03-08,Europe,Manufacturing,Medium (51-500),Basic,Monthly,60.31,0.0,3,7,51,21.3,2,28.4,1,8,3.1,1,1,2026-03-23,Payment/Billing Issue
CUST-100057,2022-12-25,North America,Retail/E-commerce,Small (1-50),Basic,Monthly,36.61,5.0,42,12,9,100.0,0,9.8,0,9,4.9,7,0,,
CUST-100058,2022-07-05,Europe,Retail/E-commerce,Small (1-50),Basic,Annual,41.82,17.6,47,30,9,93.2,2,45.2,0,10,3.8,1,0,,
CUST-100059,2025-02-26,Europe,Retail/E-commerce,Small (1-50),Basic,Monthly,43.0,0.0,16,5,24,38.5,3,19.2,0,3,3.6,0,0,,
CUST-100060,2025-02-23,APAC,Manufacturing,Medium (51-500),Basic,Monthly,63.68,10.0,16,5,24,34.5,3,24.9,2,8,3.5,0,0,,
CUST-100061,2025-05-29,APAC,Technology,Large (500+),Basic,Annual,135.6,15.6,13,2,29,19.7,2,28.3,1,6,3.4,0,0,,
CUST-100062,2025-09-03,North America,Healthcare,Small (1-50),Pro,Annual,159.04,19.1,9,12,24,42.7,3,32.4,0,10,3.3,0,0,,
CUST-100063,2026-03-20,Europe,Technology,Medium (51-500),Basic,Annual,83.73,12.2,3,15,25,30.9,0,31.0,0,10,3.8,0,0,,
CUST-100064,2026-03-25,North America,Manufacturing,Medium (51-500),Basic,Annual,77.14,17.3,3,23,19,61.1,3,13.8,0,9,3.5,0,0,,
CUST-100065,2025-02-18,North America,Retail/E-commerce,Small (1-50),Pro,Annual,91.63,16.2,16,10,28,54.3,2,15.8,0,7,3.5,0,0,,
CUST-100066,2025-08-23,Europe,Retail/E-commerce,Medium (51-500),Basic,Annual,92.32,18.4,10,4,15,65.2,1,10.5,0,8,3.4,4,0,,
CUST-100067,2026-02-21,North America,Healthcare,Medium (51-500),Pro,Monthly,152.01,10.0,4,5,24,35.8,4,23.6,0,6,3.0,0,0,,
CUST-100068,2026-05-23,Europe,Education,Small (1-50),Basic,Monthly,38.12,0.0,1,8,40,36.3,2,26.8,0,4,4.3,1,0,,
CUST-100069,2022-07-26,APAC,Healthcare,Large (500+),Enterprise,Annual,1293.93,18.5,47,6,12,89.3,1,39.9,0,6,3.5,2,0,,
CUST-100070,2024-12-04,Europe,Retail/E-commerce,Medium (51-500),Pro,Annual,446.7,10.1,18,15,20,55.9,1,2.8,0,7,3.8,0,0,,
CUST-100071,2026-03-03,LATAM,Healthcare,Small (1-50),Basic,Annual,65.57,16.9,3,9,22,46.4,5,8.8,0,6,3.3,2,0,,
CUST-100072,2024-08-23,Europe,Technology,Small (1-50),Basic,Monthly,52.27,0.0,22,4,24,37.7,3,14.4,1,6,4.4,0,0,,
CUST-100073,2026-04-05,LATAM,Media/Entertainment,Medium (51-500),Pro,Monthly,203.49,0.0,2,10,23,50.8,4,9.2,0,7,3.0,0,0,,
CUST-100074,2025-04-26,Europe,Retail/E-commerce,Medium (51-500),Pro,Annual,157.6,18.0,14,8,26,44.7,0,3.1,0,7,4.1,1,0,,
CUST-100075,2025-05-27,Europe,Retail/E-commerce,Medium (51-500),Pro,Monthly,253.71,10.0,13,12,19,54.9,2,3.1,1,6,3.8,1,0,,
CUST-100076,2026-05-21,North America,Manufacturing,Small (1-50),Pro,Annual,126.66,16.8,1,5,24,47.1,0,1.1,0,10,4.0,0,0,,
CUST-100077,2025-01-07,Europe,Retail/E-commerce,Small (1-50),Basic,Monthly,41.43,0.0,17,6,24,41.5,1,7.4,0,10,3.6,1,0,,
CUST-100078,2025-05-23,Europe,Media/Entertainment,Small (1-50),Basic,Annual,43.23,16.0,13,4,27,31.0,4,31.7,0,6,3.2,0,0,,
CUST-100079,2024-05-06,Europe,Healthcare,Small (1-50),Basic,Annual,60.53,10.2,25,8,25,40.0,4,27.4,0,4,3.5,0,0,,
CUST-100080,2023-04-14,Europe,Healthcare,Medium (51-500),Enterprise,Monthly,1078.81,0.0,38,19,11,91.4,0,4.6,0,9,3.9,3,0,,
CUST-100081,2024-11-10,APAC,Technology,Small (1-50),Pro,Monthly,208.29,0.0,19,4,21,43.9,0,11.9,0,6,4.5,1,1,2025-12-05,Missing Features
CUST-100082,2026-01-12,North America,Healthcare,Small (1-50),Basic,Monthly,29.76,0.0,5,1,27,13.4,2,9.1,1,7,3.2,1,1,2026-03-16,Other
CUST-100083,2025-12-11,Europe,Technology,Medium (51-500),Basic,Annual,76.64,11.7,6,6,22,33.8,2,22.1,0,8,4.1,1,0,,
CUST-100084,2026-01-13,Europe,Education,Small (1-50),Basic,Annual,36.19,19.7,5,6,19,50.3,4,38.9,0,7,3.8,0,0,,
CUST-100085,2023-11-30,North America,Technology,Medium (51-500),Basic,Monthly,56.38,5.0,31,17,15,79.2,1,32.4,0,9,3.8,1,0,,
CUST-100086,2025-08-14,LATAM,Retail/E-commerce,Medium (51-500),Pro,Monthly,275.4,0.0,10,2,29,10.0,2,9.2,1,6,3.5,1,0,,
CUST-100087,2022-07-23,APAC,Financial Services,Small (1-50),Pro,Annual,116.18,13.3,47,28,9,100.0,2,16.4,0,7,4.3,1,0,,
CUST-100088,2025-01-18,North America,Education,Small (1-50),Enterprise,Annual,423.05,18.5,17,10,19,51.7,5,17.8,0,7,3.2,3,0,,
CUST-100089,2025-04-27,North America,Healthcare,Small (1-50),Pro,Monthly,107.09,5.0,14,6,26,37.5,3,27.0,0,8,3.8,1,0,,
CUST-100090,2023-06-23,Europe,Education,Small (1-50),Basic,Monthly,40.35,10.0,36,23,19,73.2,0,14.5,0,8,3.6,7,0,,
CUST-100091,2025-04-18,North America,Technology,Small (1-50),Pro,Annual,153.6,13.7,14,10,28,44.9,0,12.6,1,9,4.0,1,0,,
CUST-100092,2024-03-27,Europe,Technology,Medium (51-500),Pro,Monthly,277.0,0.0,27,26,13,82.8,0,9.3,1,10,4.1,1,0,,
CUST-100093,2025-07-23,North America,Retail/E-commerce,Small (1-50),Pro,Annual,80.8,12.7,11,8,19,55.1,2,21.9,0,7,3.5,0,0,,
CUST-100094,2025-04-14,APAC,Technology,Large (500+),Pro,Monthly,524.02,10.0,14,15,14,70.7,1,15.6,1,6,3.1,2,0,,
CUST-100095,2026-02-09,APAC,Manufacturing,Medium (51-500),Pro,Annual,216.78,15.2,4,2,26,21.4,5,42.8,0,5,2.9,0,0,,
CUST-100096,2023-09-10,North America,Retail/E-commerce,Large (500+),Pro,Monthly,444.23,5.0,33,14,15,73.6,3,31.0,1,8,4.1,2,0,,
CUST-100097,2026-01-28,APAC,Technology,Small (1-50),Basic,Annual,50.75,17.2,5,5,24,41.2,1,30.3,0,8,3.8,0,0,,
CUST-100098,2022-07-19,APAC,Manufacturing,Small (1-50),Basic,Monthly,38.2,0.0,47,19,14,74.2,0,14.7,0,9,4.9,4,0,,
CUST-100099,2025-11-28,Europe,Media/Entertainment,Large (500+),Basic,Monthly,188.29,5.0,7,10,24,41.7,2,32.5,0,7,3.8,1,0,,
CUST-100100,2025-09-22,North America,Healthcare,Large (500+),Basic,Monthly,214.31,0.0,9,4,23,39.1,1,21.0,0,8,4.0,0,0,,
CUST-100101,2025-08-04,APAC,Retail/E-commerce,Small (1-50),Pro,Annual,142.18,12.2,10,12,24,30.9,4,9.9,0,5,3.4,0,0,,
CUST-100102,2025-11-16,North America,Retail/E-commerce,Medium (51-500),Basic,Monthly,77.61,0.0,7,9,41,27.6,4,29.9,0,3,2.7,1,0,,
CUST-100103,2025-05-03,Europe,Technology,Small (1-50),Pro,Monthly,165.12,0.0,13,5,17,78.4,4,7.0,1,3,3.7,1,0,,
CUST-100104,2025-02-08,North America,Healthcare,Large (500+),Enterprise,Monthly,1259.33,0.0,16,12,17,62.0,4,25.5,0,5,2.8,1,0,,
CUST-100105,2026-03-16,Europe,Retail/E-commerce,Small (1-50),Basic,Monthly,52.21,10.0,3,5,25,27.7,3,7.3,0,7,3.1,1,1,2026-05-21,Poor Support Experience
CUST-100106,2024-02-24,North America,Technology,Medium (51-500),Basic,Monthly,96.56,0.0,28,5,22,42.8,0,21.4,0,8,3.2,4,0,,
CUST-100107,2025-01-07,Europe,Technology,Small (1-50),Pro,Monthly,141.96,5.0,17,6,21,49.4,4,5.8,1,6,3.5,0,0,,
CUST-100108,2024-09-13,North America,Healthcare,Small (1-50),Basic,Monthly,51.83,5.0,21,7,21,39.6,0,25.2,0,7,2.9,0,0,,
CUST-100109,2022-09-30,Europe,Retail/E-commerce,Small (1-50),Basic,Annual,42.57,13.9,45,25,15,87.0,2,23.7,0,8,4.0,4,0,,
CUST-100110,2024-04-07,APAC,Technology,Small (1-50),Basic,Annual,35.51,16.0,26,13,24,45.7,1,13.1,0,10,4.1,1,0,,
CUST-100111,2025-03-10,North America,Financial Services,Small (1-50),Basic,Annual,50.15,14.3,15,5,22,44.7,0,14.0,0,10,3.8,0,0,,
CUST-100112,2026-01-08,Europe,Technology,Medium (51-500),Enterprise,Monthly,943.62,0.0,5,10,23,34.1,3,30.5,0,5,3.6,0,0,,
CUST-100113,2025-04-10,North America,Technology,Small (1-50),Pro,Annual,167.83,11.4,14,11,17,92.5,1,11.3,0,9,3.8,2,0,,
CUST-100114,2026-06-07,Europe,Technology,Medium (51-500),Pro,Monthly,258.79,0.0,0,5,23,34.4,5,30.2,0,6,2.2,1,0,,
CUST-100115,2025-03-14,Europe,Education,Small (1-50),Enterprise,Monthly,315.64,10.0,15,6,20,44.8,0,15.1,0,9,3.6,0,0,,
CUST-100116,2025-09-18,Europe,Manufacturing,Small (1-50),Pro,Monthly,169.54,10.0,9,5,25,51.2,2,16.9,0,10,3.7,1,0,,
CUST-100117,2024-12-23,North America,Manufacturing,Medium (51-500),Basic,Monthly,120.34,0.0,18,14,20,49.8,2,10.3,1,5,3.5,1,0,,
CUST-100118,2026-01-03,North America,Financial Services,Small (1-50),Enterprise,Monthly,606.67,5.0,5,16,18,53.2,2,25.2,1,9,4.3,1,0,,
CUST-100119,2025-03-29,North America,Media/Entertainment,Medium (51-500),Pro,Monthly,231.02,10.0,15,13,22,38.6,2,19.0,0,7,3.6,0,0,,
CUST-100120,2024-05-06,APAC,Technology,Medium (51-500),Pro,Annual,246.99,16.8,25,11,25,43.0,0,8.7,0,10,4.3,1,0,,
CUST-100121,2026-05-28,Europe,Healthcare,Small (1-50),Enterprise,Monthly,374.32,5.0,1,2,29,13.6,2,31.8,0,5,3.4,0,0,,
CUST-100122,2024-12-10,LATAM,Healthcare,Medium (51-500),Basic,Monthly,54.88,10.0,18,11,21,42.9,0,6.7,0,9,3.8,1,0,,
CUST-100123,2022-07-27,APAC,Technology,Large (500+),Basic,Monthly,159.35,0.0,47,39,15,73.2,1,7.8,1,10,2.6,1,0,,
CUST-100124,2023-09-13,APAC,Retail/E-commerce,Small (1-50),Basic,Monthly,49.52,10.0,33,28,11,95.1,1,20.0,1,9,4.1,0,0,,
CUST-100125,2026-04-16,Europe,Media/Entertainment,Small (1-50),Basic,Monthly,36.19,10.0,2,20,20,47.0,0,6.8,1,10,4.0,0,0,,
CUST-100126,2025-09-10,North America,Education,Small (1-50),Pro,Monthly,142.32,0.0,9,3,25,25.9,3,30.8,0,6,4.2,0,0,,
CUST-100127,2026-02-26,APAC,Technology,Large (500+),Enterprise,Monthly,1480.41,0.0,4,14,22,50.5,0,23.4,0,9,3.6,0,0,,
CUST-100128,2026-05-30,North America,Financial Services,Medium (51-500),Basic,Monthly,69.22,0.0,1,10,20,49.1,0,20.9,0,7,4.7,0,0,,
CUST-100129,2024-06-06,Europe,Healthcare,Small (1-50),Pro,Annual,156.66,10.6,24,15,15,70.9,2,41.2,0,8,3.4,1,0,,
CUST-100130,2024-02-24,APAC,Media/Entertainment,Medium (51-500),Basic,Monthly,69.44,5.0,28,14,22,74.9,1,6.9,1,10,4.2,2,0,,
CUST-100131,2025-01-16,Europe,Healthcare,Small (1-50),Basic,Monthly,35.5,10.0,17,5,29,30.6,0,7.3,0,9,4.7,1,0,,
CUST-100132,2026-05-11,North America,Healthcare,Small (1-50),Basic,Annual,37.09,19.3,1,13,20,48.2,3,7.2,0,4,3.5,0,0,,
CUST-100133,2026-05-16,North America,Manufacturing,Small (1-50),Basic,Monthly,35.18,10.0,1,12,26,29.2,2,20.9,0,6,3.1,1,0,,
CUST-100134,2025-05-24,LATAM,Healthcare,Small (1-50),Enterprise,Monthly,401.23,10.0,13,17,23,41.2,2,10.8,0,7,3.2,1,1,2026-05-11,Missing Features
CUST-100135,2023-05-27,LATAM,Media/Entertainment,Small (1-50),Basic,Monthly,46.47,0.0,37,17,13,77.6,0,3.2,0,9,4.7,3,0,,
CUST-100136,2026-03-25,Europe,Financial Services,Medium (51-500),Pro,Annual,296.05,12.3,3,6,22,45.2,2,30.4,0,6,2.8,0,0,,
CUST-100137,2025-03-25,APAC,Healthcare,Small (1-50),Pro,Monthly,130.23,0.0,15,20,14,71.0,1,12.3,0,9,3.6,0,0,,
CUST-100138,2025-07-04,North America,Healthcare,Large (500+),Basic,Annual,141.44,10.0,11,13,21,47.4,2,27.9,0,7,3.7,0,0,,
CUST-100139,2026-02-05,North America,Financial Services,Small (1-50),Enterprise,Monthly,826.39,0.0,4,5,25,30.7,0,1.8,0,7,4.6,0,0,,
CUST-100140,2025-10-13,North America,Retail/E-commerce,Large (500+),Enterprise,Monthly,1443.94,0.0,8,11,21,63.2,0,30.5,2,10,4.0,0,0,,
CUST-100141,2025-09-25,North America,Manufacturing,Small (1-50),Basic,Monthly,44.38,0.0,9,4,27,33.7,1,59.5,0,7,3.8,0,0,,
CUST-100142,2026-04-09,North America,Technology,Large (500+),Pro,Annual,571.23,13.3,2,4,28,17.0,0,10.8,0,7,4.7,1,0,,
CUST-100143,2026-03-13,North America,Technology,Medium (51-500),Basic,Annual,106.88,11.4,3,13,22,39.1,0,21.5,0,9,4.8,0,0,,
CUST-100144,2025-01-06,Europe,Healthcare,Medium (51-500),Basic,Monthly,98.94,0.0,17,13,19,60.6,2,12.2,0,8,3.9,2,0,,
CUST-100145,2026-04-15,North America,Financial Services,Medium (51-500),Basic,Monthly,65.98,10.0,2,25,29,47.3,1,20.9,0,9,2.0,0,1,2026-05-13,Missing Features
CUST-100146,2024-06-30,North America,Technology,Large (500+),Pro,Monthly,667.58,10.0,24,15,20,61.5,5,7.3,0,1,3.5,2,0,,
CUST-100147,2023-12-03,APAC,Manufacturing,Large (500+),Pro,Monthly,418.26,0.0,30,17,15,79.5,2,20.4,0,7,4.8,1,0,,
CUST-100148,2026-05-18,North America,Retail/E-commerce,Small (1-50),Basic,Monthly,43.1,0.0,1,7,24,42.4,4,14.7,1,7,3.8,0,0,,
CUST-100149,2022-08-12,North America,Technology,Medium (51-500),Basic,Monthly,89.54,0.0,46,17,12,89.8,1,51.9,0,10,3.9,1,0,,
CUST-100150,2022-07-29,North America,Technology,Small (1-50),Enterprise,Annual,410.28,12.9,47,14,13,74.0,2,12.5,0,7,3.7,2,0,,
CUST-100151,2026-06-14,APAC,Media/Entertainment,Small (1-50),Basic,Monthly,48.14,0.0,0,6,27,21.8,2,32.3,0,5,3.1,0,1,2026-06-26,Budget Cuts
CUST-100152,2026-06-14,Europe,Retail/E-commerce,Medium (51-500),Basic,Monthly,72.2,0.0,0,8,24,29.4,1,39.6,0,5,3.1,1,0,,
CUST-100153,2022-07-30,Europe,Technology,Small (1-50),Pro,Monthly,164.06,5.0,47,18,9,100.0,1,11.0,0,8,3.9,0,0,,
CUST-100154,2026-05-26,North America,Financial Services,Medium (51-500),Enterprise,Monthly,822.56,0.0,1,2,27,20.1,1,8.5,1,8,3.0,0,0,,
CUST-100155,2026-01-04,Europe,Financial Services,Small (1-50),Basic,Monthly,56.0,5.0,5,11,20,48.4,3,21.2,0,6,3.1,0,1,2026-02-20,Price Sensitivity
CUST-100156,2025-08-28,North America,Media/Entertainment,Small (1-50),Pro,Annual,140.73,11.1,10,4,27,24.1,4,25.5,1,4,4.1,0,0,,
CUST-100157,2026-04-22,North America,Manufacturing,Large (500+),Pro,Monthly,405.94,5.0,2,10,23,38.1,1,13.3,0,4,4.2,0,0,,
CUST-100158,2025-10-13,Europe,Technology,Small (1-50),Basic,Annual,39.4,15.0,8,10,25,32.3,0,17.0,0,6,4.5,1,0,,
CUST-100159,2023-01-16,APAC,Healthcare,Small (1-50),Pro,Monthly,126.69,0.0,41,36,10,89.2,1,34.3,0,9,4.1,1,0,,
CUST-100160,2023-08-11,North America,Retail/E-commerce,Small (1-50),Basic,Monthly,52.97,5.0,34,33,14,68.9,1,8.3,0,8,3.4,3,0,,
CUST-100161,2026-04-18,APAC,Retail/E-commerce,Small (1-50),Pro,Monthly,108.88,0.0,2,4,26,22.1,1,18.1,0,10,3.5,0,0,,
CUST-100162,2022-08-21,North America,Retail/E-commerce,Small (1-50),Pro,Annual,87.42,18.4,46,30,16,73.1,0,22.7,0,10,4.8,4,0,,
CUST-100163,2024-11-19,North America,Healthcare,Small (1-50),Pro,Monthly,89.58,10.0,19,12,22,68.6,2,34.6,1,8,3.7,0,0,,
CUST-100164,2022-07-07,North America,Financial Services,Medium (51-500),Basic,Monthly,48.46,10.0,47,25,7,100.0,1,6.9,0,10,3.7,5,0,,
CUST-100165,2026-03-14,APAC,Education,Small (1-50),Pro,Monthly,153.42,5.0,3,3,32,16.7,1,4.5,0,7,3.5,0,0,,
CUST-100166,2026-05-27,North America,Technology,Small (1-50),Basic,Annual,30.24,17.3,1,12,25,25.9,4,23.9,0,9,3.6,0,0,,
CUST-100167,2025-10-15,Europe,Retail/E-commerce,Medium (51-500),Basic,Monthly,60.28,5.0,8,17,15,80.2,0,33.2,0,10,4.8,0,0,,
CUST-100168,2022-07-15,North America,Manufacturing,Small (1-50),Basic,Monthly,40.55,0.0,47,29,7,100.0,0,23.6,0,8,3.7,2,0,,
CUST-100169,2025-09-14,Europe,Technology,Small (1-50),Pro,Monthly,216.7,0.0,9,5,24,32.0,1,28.6,0,7,4.7,0,0,,
CUST-100170,2025-02-06,North America,Healthcare,Medium (51-500),Pro,Monthly,274.88,5.0,16,5,22,37.9,4,14.1,1,6,3.4,1,0,,
CUST-100171,2025-06-10,North America,Education,Medium (51-500),Basic,Monthly,70.97,5.0,12,5,27,22.2,4,8.7,1,7,3.5,2,0,,
CUST-100172,2023-06-05,APAC,Retail/E-commerce,Small (1-50),Pro,Monthly,131.94,5.0,36,13,15,76.8,0,28.1,0,9,4.2,2,0,,
